[watchdog] Installing dependencies...
bun install v1.3.13 (bf2e2cec)
No packages! Deleted empty lockfile

[1.00ms] done
[watchdog] Running bun run dev...
$ bun --hot index.ts
Watchdog health endpoint: http://127.0.0.1:3031/health
[2026-05-14T06:12:50.675Z] Watchdog started. Checking every 30s
[2026-05-14T06:12:50.967Z] Initial check: ALIVE
[2026-05-14T06:15:21.136Z] Heartbeat: server alive
[2026-05-14T06:20:21.467Z] Heartbeat: server alive
[2026-05-14T06:25:21.805Z] Heartbeat: server alive
[2026-05-14T06:30:22.142Z] Heartbeat: server alive
[2026-05-14T06:35:22.488Z] Heartbeat: server alive
[2026-05-14T06:40:22.818Z] Heartbeat: server alive
[2026-05-14T06:45:23.157Z] Heartbeat: server alive
[2026-05-14T06:50:23.522Z] Heartbeat: server alive
[2026-05-14T06:55:23.856Z] Heartbeat: server alive
[2026-05-14T07:00:24.193Z] Heartbeat: server alive
[2026-05-14T07:05:24.498Z] Heartbeat: server alive
[2026-05-14T07:10:24.791Z] Heartbeat: server alive
[2026-05-14T07:15:25.106Z] Heartbeat: server alive
[2026-05-14T07:20:25.407Z] Heartbeat: server alive
[2026-05-14T07:25:25.720Z] Heartbeat: server alive
[2026-05-14T07:30:26.025Z] Heartbeat: server alive
[2026-05-14T07:35:26.311Z] Heartbeat: server alive
[2026-05-14T07:40:26.598Z] Heartbeat: server alive
[2026-05-14T07:45:26.885Z] Heartbeat: server alive
[2026-05-14T07:50:27.187Z] Heartbeat: server alive
[2026-05-14T07:55:27.499Z] Heartbeat: server alive
[2026-05-14T08:00:27.795Z] Heartbeat: server alive
[2026-05-14T08:05:28.113Z] Heartbeat: server alive
[2026-05-14T08:10:28.452Z] Heartbeat: server alive
[2026-05-14T08:15:28.799Z] Heartbeat: server alive
[2026-05-14T08:20:29.106Z] Heartbeat: server alive
[2026-05-14T08:25:29.422Z] Heartbeat: server alive
[2026-05-14T08:30:29.756Z] Heartbeat: server alive
[2026-05-14T08:35:00.063Z] Heartbeat: server alive
[2026-05-14T08:40:00.389Z] Heartbeat: server alive
[2026-05-14T08:45:00.699Z] Heartbeat: server alive
[2026-05-14T08:50:00.993Z] Heartbeat: server alive
[2026-05-14T08:55:01.307Z] Heartbeat: server alive
[2026-05-14T09:00:01.618Z] Heartbeat: server alive
[2026-05-14T09:05:01.911Z] Heartbeat: server alive
[2026-05-14T09:10:02.202Z] Heartbeat: server alive
[2026-05-14T09:15:02.505Z] Heartbeat: server alive
[2026-05-14T09:20:02.796Z] Heartbeat: server alive
[2026-05-14T09:25:03.104Z] Heartbeat: server alive
[2026-05-14T09:30:03.412Z] Heartbeat: server alive
[2026-05-14T09:35:03.697Z] Heartbeat: server alive
[2026-05-14T09:40:03.980Z] Heartbeat: server alive
[2026-05-14T09:45:04.273Z] Heartbeat: server alive
[2026-05-14T09:50:04.575Z] Heartbeat: server alive
[2026-05-14T09:55:04.867Z] Heartbeat: server alive
[2026-05-14T10:00:05.167Z] Heartbeat: server alive
[2026-05-14T10:05:05.453Z] Heartbeat: server alive
[2026-05-14T10:10:05.740Z] Heartbeat: server alive
[2026-05-14T10:15:06.034Z] Heartbeat: server alive
[2026-05-14T10:20:06.338Z] Heartbeat: server alive
[2026-05-14T10:25:06.643Z] Heartbeat: server alive
[2026-05-14T10:30:06.933Z] Heartbeat: server alive
[2026-05-14T10:35:07.225Z] Heartbeat: server alive
[2026-05-14T10:40:07.514Z] Heartbeat: server alive
